dependent_id,employee_id,first_name,last_name,relationship,date_of_birth,gender,dependent_status
DP000018001,EE0000180,Jasmine,Adeyemi,Spouse,1988-06-05,M,Active
DP000018601,EE0000186,Samuel,Garcia,Spouse,1996-01-18,F,Active
DP000018801,EE0000188,Ethan,Adeyemi,Domestic Partner,1995-10-01,F,Active
DP000019001,EE0000190,Ethan,Martinez,Child,2020-12-06,M,Active
DP000019301,EE0000193,Victor,Ibrahim,Domestic Partner,1989-08-05,M,Active
DP000019302,EE0000193,Leah,Ibrahim,Child,2010-02-04,F,Active
DP000019303,EE0000193,Leah,Ibrahim,Child,2007-06-28,F,Active
DP000019401,EE0000194,Zoe,Patel,Spouse,1974-05-15,M,Active
DP000019402,EE0000194,Isaiah,Patel,Child,2013-06-21,F,Active
DP000019403,EE0000194,Luis,Patel,Child,2016-10-17,F,Active
DP000019601,EE0000196,Olivia,Johnson,Spouse,2005-12-12,F,Active
DP000019602,EE0000196,Andre,Johnson,Child,2022-02-22,F,Active
DP000019901,EE0000199,Carlos,Wilson,Child,2022-02-02,M,Active
DP000019902,EE0000199,Jordan,Wilson,Child,2025-10-13,M,Active
DP000020101,EE0000201,Samuel,Patel,Spouse,2002-04-13,M,Active
DP000020201,EE0000202,Olivia,Okafor,Domestic Partner,1973-11-24,M,Active
DP000020301,EE0000203,Andre,Robinson,Domestic Partner,2003-03-13,F,Active
DP000020302,EE0000203,Nia,Robinson,Child,2026-05-21,M,Active
DP000020501,EE0000205,Isaiah,Miller,Spouse,1985-11-11,F,Active
DP000020502,EE0000205,Naomi,Miller,Child,2017-04-02,F,Active
DP000020701,EE0000207,Isaiah,Davis,Child,2025-06-10,M,Active
DP000020702,EE0000207,Samuel,Davis,Child,2023-07-21,F,Active
DP000020801,EE0000208,Olivia,Nguyen,Spouse,1993-10-03,M,Active
DP000021101,EE0000211,Kevin,Kim,Child,2021-12-26,F,Active
DP000021102,EE0000211,Olivia,Kim,Child,2014-04-07,F,Active
DP000021701,EE0000217,Zoe,Chen,Child,2001-02-26,F,Active
DP000021702,EE0000217,Andre,Chen,Child,2011-12-31,M,Active
DP000021703,EE0000217,Chiamaka,Chen,Child,2014-05-27,F,Active
DP000021801,EE0000218,Angela,Brown,Child,2019-10-15,M,Active
DP000021802,EE0000218,Luis,Brown,Child,2008-10-08,M,Active
DP000022001,EE0000220,Ethan,Walker,Child,2021-07-12,F,Active
DP000022101,EE0000221,Carlos,Martinez,Spouse,1974-04-17,M,Active
DP000022102,EE0000221,Malik,Martinez,Child,2025-09-11,M,Active
DP000022701,EE0000227,Victor,Chen,Spouse,1997-06-02,M,Active
DP000022702,EE0000227,Leah,Chen,Child,2018-04-04,F,Active
DP000022703,EE0000227,Jasmine,Chen,Child,2017-12-22,M,Active
DP000022901,EE0000229,Kevin,Smith,Child,2010-05-15,M,Active
DP000022902,EE0000229,Priya,Smith,Child,2001-02-08,M,Active
DP000022903,EE0000229,Samuel,Smith,Child,2013-11-19,M,Active
DP000023001,EE0000230,Zoe,Garcia,Domestic Partner,1987-08-26,M,Active
DP000023002,EE0000230,Aaliyah,Garcia,Child,2015-06-15,M,Active
DP000023101,EE0000231,Jordan,Ibrahim,Child,2019-10-21,M,Active
DP000023401,EE0000234,Olivia,Martinez,Domestic Partner,1975-03-11,M,Active
DP000023501,EE0000235,Maya,Martinez,Spouse,1969-02-04,F,Active
DP000023502,EE0000235,David,Martinez,Child,2014-09-28,M,Active
DP000023901,EE0000239,Leah,Adeyemi,Child,2005-07-13,M,Active
DP000023902,EE0000239,Victor,Adeyemi,Child,2017-05-09,M,Active
DP000024401,EE0000244,Angela,Nguyen,Child,2020-03-05,M,Active
DP000024701,EE0000247,Olivia,Martinez,Spouse,1976-12-06,M,Active
DP000024702,EE0000247,Fatima,Martinez,Child,2010-12-31,M,Active
DP000024801,EE0000248,Zoe,Hernandez,Child,2016-11-15,M,Active
DP000024901,EE0000249,Grace,Williams,Child,2024-07-29,M,Active
DP000025001,EE0000250,Elena,Martinez,Spouse,1983-04-07,F,Active
DP000025002,EE0000250,Jasmine,Martinez,Child,2024-06-23,F,Active
DP000025301,EE0000253,Daniel,Thomas,Child,2026-06-30,M,Active
DP000025401,EE0000254,Elena,Thomas,Domestic Partner,1980-08-23,F,Active
DP000025701,EE0000257,Olivia,Lewis,Domestic Partner,1984-12-04,M,Active
DP000025702,EE0000257,Andre,Lewis,Child,2003-03-07,M,Active
DP000025703,EE0000257,Aaliyah,Lewis,Child,2012-01-18,M,Active
DP000026001,EE0000260,Aaliyah,Williams,Domestic Partner,1983-12-29,F,Active
DP000026101,EE0000261,Isaiah,Wilson,Child,2017-07-17,M,Active
DP000026102,EE0000261,Amara,Wilson,Child,2019-11-07,F,Active
DP000026103,EE0000261,Luis,Wilson,Child,2015-04-26,M,Active
DP000026201,EE0000262,Priya,Williams,Child,2000-07-12,F,Active
DP000026202,EE0000262,Samuel,Williams,Child,2023-04-28,M,Active
DP000026301,EE0000263,Isaiah,Okafor,Domestic Partner,1979-04-09,F,Active
DP000026701,EE0000267,Omar,Ibrahim,Domestic Partner,1977-10-01,F,Active
DP000026702,EE0000267,Naomi,Ibrahim,Child,2022-09-21,F,Active
DP000026801,EE0000268,Kevin,Smith,Child,2019-02-12,F,Active
DP000026802,EE0000268,Angela,Smith,Child,2014-08-10,M,Active
DP000027001,EE0000270,Leah,Adeyemi,Domestic Partner,1979-01-08,F,Active
DP000027002,EE0000270,Nia,Adeyemi,Child,2008-09-26,F,Active
DP000027003,EE0000270,David,Adeyemi,Child,2019-08-20,F,Active
DP000027101,EE0000271,Naomi,Robinson,Spouse,2002-09-29,F,Active
DP000027102,EE0000271,Daniel,Robinson,Child,2024-10-24,F,Active
DP000027103,EE0000271,Kevin,Robinson,Child,2019-04-29,M,Active
DP000027201,EE0000272,Malik,Adams,Child,2023-01-11,M,Active
DP000027301,EE0000273,Elena,Miller,Domestic Partner,1975-02-03,F,Active
DP000027302,EE0000273,Fatima,Miller,Child,2012-08-27,M,Active
DP000027401,EE0000274,Fatima,Garcia,Child,2010-07-27,F,Active
DP000027501,EE0000275,Fatima,Campbell,Domestic Partner,1998-05-16,M,Active
DP000027601,EE0000276,Aaliyah,Robinson,Spouse,1971-11-03,M,Active
DP000027801,EE0000278,Ethan,Garcia,Spouse,1981-11-12,F,Active
DP000028001,EE0000280,Victor,Taylor,Domestic Partner,1982-02-28,F,Active
DP000028002,EE0000280,Nia,Taylor,Child,2016-02-01,M,Active
DP000028003,EE0000280,Grace,Taylor,Child,2023-08-28,F,Active
DP000028101,EE0000281,Omar,Wilson,Domestic Partner,2000-06-19,F,Active
DP000028102,EE0000281,Noah,Wilson,Child,2024-12-26,F,Active
DP000028201,EE0000282,Samuel,Williams,Domestic Partner,2000-01-03,M,Active
DP000028301,EE0000283,Fatima,Moore,Spouse,1988-04-02,F,Active
DP000028401,EE0000284,Zoe,Lewis,Domestic Partner,1998-11-25,M,Active
DP000028701,EE0000287,Luis,Walker,Spouse,1990-06-16,M,Active
DP000028901,EE0000289,Carlos,Lewis,Domestic Partner,1961-06-21,M,Active
DP000028902,EE0000289,Naomi,Lewis,Child,2002-06-27,F,Active
DP000029801,EE0000298,Luis,Hernandez,Spouse,1975-08-01,M,Active
DP000029802,EE0000298,Sophia,Hernandez,Child,2017-07-16,F,Active
DP000030401,EE0000304,Nia,Walker,Domestic Partner,1997-11-16,M,Active
DP000030601,EE0000306,Samuel,Moore,Child,2017-09-30,F,Active
DP000030602,EE0000306,Aaliyah,Moore,Child,2003-09-12,F,Active
DP000030701,EE0000307,Omar,Bennett,Child,2022-04-01,F,Active
DP000030901,EE0000309,Chiamaka,Adeyemi,Spouse,2002-11-14,M,Active
DP000030902,EE0000309,Jordan,Adeyemi,Child,2025-02-22,M,Active
DP000031201,EE0000312,Sophia,Ibrahim,Child,2008-09-20,F,Active
DP000031202,EE0000312,Andre,Ibrahim,Child,2004-12-26,M,Active
DP000031501,EE0000315,Carlos,Robinson,Spouse,1991-08-03,M,Active
DP000031601,EE0000316,Michael,Campbell,Spouse,1991-03-19,M,Active
DP000031602,EE0000316,Aaliyah,Campbell,Child,2001-09-18,F,Active
DP000031603,EE0000316,Ethan,Campbell,Child,2007-06-20,M,Active
DP000031701,EE0000317,Noah,Kim,Child,2013-10-30,F,Active
DP000031702,EE0000317,Kevin,Kim,Child,2023-07-03,M,Active
DP000031801,EE0000318,Maya,Adams,Spouse,2006-02-16,F,Active
DP000031802,EE0000318,Elena,Adams,Child,2025-08-22,F,Active
DP000031901,EE0000319,Chiamaka,Lewis,Spouse,1995-12-06,M,Active
DP000032101,EE0000321,Ethan,Campbell,Spouse,1997-08-24,F,Active
DP000032201,EE0000322,Jasmine,Brown,Spouse,2002-07-23,F,Active
DP000032202,EE0000322,Victor,Brown,Child,2024-07-07,M,Active
DP000032301,EE0000323,Maya,Thomas,Child,2014-05-08,M,Active
DP000032701,EE0000327,Isaiah,Wilson,Domestic Partner,1970-05-12,M,Active
DP000032702,EE0000327,Maya,Wilson,Child,2024-08-17,M,Active
DP000032801,EE0000328,Fatima,Ibrahim,Domestic Partner,1968-02-14,M,Active
DP000032901,EE0000329,Ethan,Miller,Child,2022-05-10,F,Active
DP000032902,EE0000329,Samuel,Miller,Child,2022-04-27,F,Active
DP000033001,EE0000330,Kevin,Brown,Child,2022-02-17,M,Active
DP000033101,EE0000331,Malik,Martinez,Spouse,2001-02-23,F,Active
DP000033102,EE0000331,Jasmine,Martinez,Child,2023-05-26,M,Active
DP000033103,EE0000331,Chiamaka,Martinez,Child,2015-02-20,F,Active
DP000033401,EE0000334,Leah,Kim,Domestic Partner,2001-01-08,F,Active
DP000033402,EE0000334,Aaliyah,Kim,Child,2014-07-15,M,Active
DP000033601,EE0000336,Omar,Campbell,Domestic Partner,1975-11-20,M,Active
DP000033602,EE0000336,Chiamaka,Campbell,Child,2022-03-01,F,Active
DP000033701,EE0000337,Malik,Ibrahim,Domestic Partner,1996-03-25,F,Active
DP000033702,EE0000337,Fatima,Ibrahim,Child,2025-06-07,M,Active
DP000033703,EE0000337,Priya,Ibrahim,Child,2013-08-29,F,Active
DP000033801,EE0000338,Noah,Wilson,Spouse,1979-06-11,F,Active
DP000034001,EE0000340,Ethan,Smith,Child,2022-10-13,F,Active
DP000034101,EE0000341,Maya,Adeyemi,Child,2000-01-27,M,Active
DP000034102,EE0000341,Jasmine,Adeyemi,Child,2014-10-24,F,Active
DP000034201,EE0000342,Nia,Moore,Domestic Partner,1989-09-12,F,Active
DP000034301,EE0000343,Chiamaka,Taylor,Spouse,1968-11-29,M,Active
DP000034302,EE0000343,Zoe,Taylor,Child,2000-10-10,M,Active
DP000034303,EE0000343,Elena,Taylor,Child,2002-11-13,F,Active
DP000034401,EE0000344,Kevin,Johnson,Child,2020-01-21,F,Active
DP000034402,EE0000344,Nia,Johnson,Child,2012-02-15,F,Active
DP000034501,EE0000345,Victor,Garcia,Domestic Partner,1989-06-30,M,Active
DP000034601,EE0000346,Fatima,Brown,Child,2013-03-31,F,Active
DP000035301,EE0000353,Michael,Robinson,Spouse,2002-09-04,F,Active
DP000035401,EE0000354,Omar,Lewis,Spouse,1969-01-04,M,Active
DP000035402,EE0000354,Ethan,Lewis,Child,2000-03-28,F,Active
DP000035601,EE0000356,Elena,Williams,Spouse,2002-01-10,M,Active
DP000035801,EE0000358,Sophia,Hernandez,Child,2014-05-28,F,Active
DP000035901,EE0000359,Nia,Walker,Spouse,1982-03-09,M,Active
DP000035902,EE0000359,Ethan,Walker,Child,2005-01-28,F,Active
DP000036001,EE0000360,Jasmine,Taylor,Domestic Partner,1976-10-28,M,Active
DP000036002,EE0000360,Jasmine,Taylor,Child,2025-05-11,F,Active
DP000036003,EE0000360,Chiamaka,Taylor,Child,2002-06-08,M,Active
DP000036501,EE0000365,Kevin,Adams,Domestic Partner,1975-03-22,F,Active
DP000036601,EE0000366,Sophia,Campbell,Child,2015-09-15,F,Active
DP000037201,EE0000372,Kevin,Ibrahim,Child,2025-05-23,F,Active
DP000037202,EE0000372,David,Ibrahim,Child,2011-05-14,F,Active
DP000037203,EE0000372,Nia,Ibrahim,Child,2004-08-21,F,Active
DP000037401,EE0000374,Michael,Brown,Child,2021-02-08,F,Active
DP000037402,EE0000374,Jasmine,Brown,Child,2024-04-03,M,Active
DP000037403,EE0000374,Olivia,Brown,Child,2026-05-10,F,Active
DP000037501,EE0000375,Leah,Martinez,Domestic Partner,1969-08-05,F,Active
DP000037601,EE0000376,Amara,Campbell,Spouse,1982-05-25,M,Active
DP000037801,EE0000378,Nia,Mensah,Domestic Partner,1967-09-27,M,Active
DP000037802,EE0000378,Isaiah,Mensah,Child,2005-12-18,F,Active
DP000037803,EE0000378,Malik,Mensah,Child,2006-03-17,F,Active
DP000038101,EE0000381,Naomi,Garcia,Child,2013-05-02,F,Active
DP000038501,EE0000385,Daniel,Wilson,Child,2022-10-26,F,Active
DP000038601,EE0000386,Zoe,Miller,Domestic Partner,1995-02-11,F,Active
DP000038602,EE0000386,Aaliyah,Miller,Child,2021-09-04,F,Active
DP000038801,EE0000388,Fatima,Thomas,Child,2019-12-06,M,Active
DP000038901,EE0000389,Angela,Adeyemi,Child,2007-11-09,F,Active
DP000039001,EE0000390,Kevin,Kim,Spouse,1988-03-26,F,Active
DP000039101,EE0000391,Grace,Adams,Domestic Partner,2000-01-26,F,Active
DP000039301,EE0000393,Grace,Williams,Child,2015-06-27,F,Active
DP000039302,EE0000393,Daniel,Williams,Child,2013-01-23,F,Active
DP000039501,EE0000395,Grace,Walker,Spouse,1994-02-20,M,Active
DP000039502,EE0000395,Naomi,Walker,Child,2014-09-13,M,Active
DP000039701,EE0000397,Jordan,Mensah,Domestic Partner,2005-01-18,M,Active
DP000039702,EE0000397,Jasmine,Mensah,Child,2022-12-07,M,Active
DP000039801,EE0000398,Fatima,Walker,Child,2012-07-12,F,Active
DP000039802,EE0000398,Carlos,Walker,Child,2002-11-16,F,Active
DP000040001,EE0000400,Victor,Brown,Child,2020-09-25,F,Active
DP000040201,EE0000402,Elena,Walker,Domestic Partner,2002-02-01,M,Active
DP000040202,EE0000402,David,Walker,Child,2025-08-18,M,Active
DP000040301,EE0000403,Naomi,Taylor,Domestic Partner,2004-01-17,F,Active
DP000040601,EE0000406,Aaliyah,Martinez,Spouse,1995-12-25,M,Active
DP000040801,EE0000408,Malik,Brown,Child,2011-03-28,M,Active
DP000041001,EE0000410,Zoe,Miller,Spouse,1996-03-29,F,Active
DP000041002,EE0000410,Jasmine,Miller,Child,2020-03-25,F,Active
DP000041003,EE0000410,Daniel,Miller,Child,2023-11-21,F,Active
DP000041401,EE0000414,Zoe,Adams,Child,2000-04-24,F,Active
DP000041601,EE0000416,Olivia,Chen,Domestic Partner,1970-12-11,F,Active
DP000041701,EE0000417,Omar,Kim,Spouse,2003-05-02,M,Active
DP000041901,EE0000419,Victor,Mensah,Domestic Partner,1990-12-02,M,Active
DP000042201,EE0000422,Aaliyah,Ibrahim,Domestic Partner,1999-04-19,M,Active
DP000042501,EE0000425,Victor,Thomas,Domestic Partner,2006-04-20,F,Active
DP000042901,EE0000429,Noah,Campbell,Child,2026-02-23,F,Active
DP000042902,EE0000429,Fatima,Campbell,Child,2024-11-10,M,Active
DP000043101,EE0000431,Leah,Mensah,Domestic Partner,1967-08-25,M,Active
DP000043102,EE0000431,Elena,Mensah,Child,2024-11-27,M,Active
DP000043201,EE0000432,Jasmine,Johnson,Spouse,1968-11-17,M,Active
DP000043301,EE0000433,Chiamaka,Smith,Child,2023-11-15,M,Active
DP000043401,EE0000434,Noah,Campbell,Domestic Partner,1978-04-09,M,Active
DP000043501,EE0000435,David,Johnson,Spouse,1993-03-19,M,Active
DP000043502,EE0000435,Andre,Johnson,Child,2013-09-26,M,Active
DP000043801,EE0000438,Omar,Walker,Spouse,1975-09-06,F,Active
DP000043901,EE0000439,Carlos,Brown,Spouse,1998-01-16,M,Active
DP000043902,EE0000439,Aaliyah,Brown,Child,2022-08-04,F,Active
DP000044001,EE0000440,Fatima,Johnson,Domestic Partner,1982-08-13,M,Active
DP000044002,EE0000440,Zoe,Johnson,Child,2014-10-23,M,Active
DP000044401,EE0000444,Andre,Garcia,Child,2025-03-28,F,Active
DP000044501,EE0000445,Sophia,Martinez,Spouse,1981-08-04,M,Active
DP000044601,EE0000446,Daniel,Campbell,Child,2024-04-18,M,Active
DP000044602,EE0000446,Sophia,Campbell,Child,2021-09-26,M,Active
DP000044701,EE0000447,Samuel,Chen,Child,2020-12-05,F,Active
DP000044702,EE0000447,Jordan,Chen,Child,2021-12-24,F,Active
DP000044801,EE0000448,Leah,Johnson,Spouse,1978-02-19,M,Active
DP000045401,EE0000454,Leah,Miller,Spouse,1973-11-04,M,Active
DP000045901,EE0000459,Ethan,Smith,Spouse,1979-05-11,M,Active
DP000045902,EE0000459,Fatima,Smith,Child,2017-09-05,F,Active
DP000046001,EE0000460,Naomi,Brown,Domestic Partner,2001-01-02,F,Active
